nome;custo;valorizacao;fonte_custo;fonte_valorizacao;obs
Pintura geral;5200;7000;https://www.habitissimo.com.br/orcamentos/solicitar/orcamento-pintar-apartamento;https://www.zapimoveis.com.br/blog/reformas-que-mais-valorizam-imovel/;"2% de R$350.000"
Troca de pisos;13500;14000;https://www.habitissimo.com.br/orcamentos/solicitar/reforma-piso;https://www.estadao.com.br/imoveis/reformas-que-valorizam-o-imovel/;"4% de R$350.000"
Reforma do banheiro;9000;11000;https://www.habitissimo.com.br/orcamentos/solicitar/reforma-banheiro;https://www.exame.com/seu-dinheiro/veja-como-reformas-podem-valorizar-o-imovel/;"3% de R$350.000"
Iluminação LED;3200;3500;https://www.getninjas.com.br/reformas-e-reparos/eletricista;https://www.lopes.com.br/blog/reformas-para-valorizar-imovel/;"1% de R$350.000"
Móveis planejados na cozinha;10500;12000;https://www.leroymerlin.com.br/cozinha-planejada;https://conteudos.quintoandar.com.br/reformas-que-valorizam-o-imovel/;"3.5% de R$350.000"
Troca de portas;4500;4000;https://www.olx.com.br/servicos/portas;https://www.zapimoveis.com.br/blog/reformas-que-mais-valorizam-imovel/;"1.1% de R$350.000"
Ar condicionado split;5500;6000;https://www.habitissimo.com.br/orcamentos/solicitar/ar-condicionado;https://www.olx.com.br/noticias/reformas-que-mais-valorizam-o-imovel/;"1.7% de R$350.000"
Gesso/sanca;3800;4100;https://www.habitissimo.com.br/orcamentos/solicitar/gesso;https://www.zapimoveis.com.br/blog/reformas-que-mais-valorizam-imovel/;"1.2% de R$350.000"
Automação básica;8200;9000;https://www.getninjas.com.br/reformas-e-reparos/automacao-residencial;https://www.exame.com/seu-dinheiro/veja-como-reformas-podem-valorizar-o-imovel/;"2.6% de R$350.000"
Novo revestimento (cozinha);7500;8500;https://www.habitissimo.com.br/orcamentos/solicitar/revestimento;https://www.lopes.com.br/blog/reformas-para-valorizar-imovel/;"2.4% de R$350.000"
Reforma da lavanderia;6000;8000;https://www.habitissimo.com.br/orcamentos/solicitar/reforma-lavanderia;https://www.lopes.com.br/blog/reformas-para-valorizar-imovel/;"1.7% de R$350.000"
Instalação de armários embutidos;7000;9000;https://www.getninjas.com.br/reformas-e-reparos/marceneiro;https://www.olx.com.br/noticias/reformas-que-mais-valorizam-o-imovel/;"2.5% de R$350.000"
Troca de janelas (alumínio);8000;8500;https://www.leroymerlin.com.br/janelas;https://www.zapimoveis.com.br/blog/reformas-que-mais-valorizam-imovel/;"2.4% de R$350.000"
Modernização elétrica;9000;11000;https://www.getninjas.com.br/reformas-e-reparos/eletricista;https://www.estadao.com.br/imoveis/reformas-que-valorizam-o-imovel/;"3.1% de R$350.000"
Reforma da área social (sala/jantar);10000;12000;https://www.habitissimo.com.br/orcamentos/solicitar/reforma-sala;https://www.lopes.com.br/blog/reformas-para-valorizar-imovel/;"3.4% de R$350.000"
Instalação de piso vinílico;9500;10500;https://www.habitissimo.com.br/orcamentos/solicitar/piso-vinilico;https://www.zapimoveis.com.br/blog/reformas-que-mais-valorizam-imovel/;"3% de R$350.000"
Projeto de iluminação decorativa;4000;5000;https://www.getninjas.com.br/reformas-e-reparos/eletricista;https://www.olx.com.br/noticias/reformas-que-mais-valorizam-o-imovel/;"1.4% de R$350.000"
Troca de louças e metais;3500;4500;https://www.leroymerlin.com.br/loucas-e-metais;https://www.estadao.com.br/imoveis/reformas-que-valorizam-o-imovel/;"1.3% de R$350.000"
Adequação de acessibilidade;8000;9000;https://www.habitissimo.com.br/orcamentos/solicitar/adaptacao-acessibilidade;https://www.olx.com.br/noticias/reformas-que-mais-valorizam-o-imovel/;"2.5% de R$350.000"
Reforma de varanda gourmet;12000;14000;https://www.habitissimo.com.br/orcamentos/solicitar/varanda-gourmet;https://conteudos.quintoandar.com.br/reformas-que-valorizam-o-imovel/;"4% de R$350.000"
